format=1 tracks=2 division=480

BA   38   CR 1+133/240   TR  1   CH  1   NT  F-            1/3   voff=80
BA   38   CR  2+13/240   TR  1   CH  1   NT  Eb           9/10   voff=80
BA   38   CR  2+13/240   TR  1   CH  1   NT  Eb-          9/10   voff=80

BA   39   CR         0   TR  1   CH  1   NT  Bb-       151/160   voff=80
BA   39   CR      1/12   TR  1   CH  1   NT  Eb           9/10   voff=80
BA   39   CR    53/480   TR  1   CH  1   NT  Eb-          9/10   voff=80
BA   39   CR   233/240   TR  1   CH  1   NT  F            9/10   voff=80
BA   39   CR   233/240   TR  1   CH  1   NT  A-        427/480   voff=80
BA   39   CR  1+13/480   TR  1   CH  1   NT  F-           9/10   voff=80
BA   39   CR         2   TR  1   CH  1   NT  Ab        3+11/12   voff=80
BA   39   CR    2+1/12   TR  1   CH  1   NT  C           3+5/6   voff=80
BA   39   CR    2+1/12   TR  1   CH  1   NT  Eb-     3+413/480   voff=80

BA   40   CR 2+151/160   TR  1   CH 16   End of track
# Successfully parsed
# Duration = 47.9775 seconds
